"x"
"#613400"
"#663903"
"#6B3D07"
"#70420B"
"#754710"
"#7A4B14"
"#80511A"
"#85561F"
"#8A5B25"
"#8F612B"
"#946731"
"#996C38"
"#9E723F"
"#A37947"
"#A87F4F"
"#AD8657"
"#B28C5F"
"#B89368"
"#BD9A71"
"#C2A17B"
"#C7A885"
"#CCB08F"
"#D1B799"
"#D6BFA4"
"#DBC7AF"
"#E0CFBB"
"#E6D7C7"
"#EBE0D3"
"#F0E8E0"
"#F5F1ED"
"#FAFAFA"
"#FFFFFF"
"#FFFFFF"
"#FAFAFA"
"#EDF5F5"
"#E0F0F0"
"#D4EBEB"
"#C8E6E6"
"#BCE0E0"
"#B0DBDB"
"#A5D6D6"
"#9AD1D1"
"#90CCCC"
"#86C7C7"
"#7CC2C2"
"#73BDBD"
"#6AB8B8"
"#61B2B2"
"#58ADAD"
"#50A8A8"
"#49A2A2"
"#419898"
"#3A8E8E"
"#338585"
"#2D7C7C"
"#277474"
"#216B6B"
"#1C6363"
"#165C5C"
"#125454"
"#0D4D4D"
"#094747"
"#054040"
"#023A3A"
