"mu.param","Mean","StdDev"
"t",-3.32270365879618,1.01846557373704
"t2",-1.57226658801861,0.498794169904742
"w",9.05855056343835,0.69582400718044
"w2",-3.11322434634164,0.551802941226518
"c",14.7088280513928,0.737463020742743
"c2",-1.14463916063367,0.364552751226047
"tw",0.299524830955059,1.09936580282259
"tc",0.638799663933623,0.873752850546487
"wc",0.488645254630852,1.05452480712938
"twc",-0.0540420926173912,0.382693213806643
"tw2",0.29195740738516,0.35318643904421
"tc2",0.08771851823928,0.301183482004695
"t2w",-0.121240611722359,0.397765185635104
"t2c",-0.33931702289437,0.306202949422637
"w2c",-0.124815603704338,0.376865246619922
"wc2",-0.126683594534422,0.289424503473847
