"mu.param","Mean","StdDev"
"t",-19.4236398823115,1.44832718119982
"t2",-7.87196878430463,1.7746321868903
"w",-0.753789942426358,0.725802581331708
"w2",-0.0989338458592009,0.337794148114817
"c",2.8717750543878,1.57402229527507
"c2",-0.753404822394396,1.46699644949761
"tw",0.570047132524661,0.572913369039044
"tc",-0.340014175792943,0.587137225679328
"wc",-0.037562868127801,0.355486062307678
"t3",1.95657729640889,0.54049802215876
"w3",0.0491530291154972,0.404779097684387
"c3",0.0818020064470169,0.343467165332077
