"sigma.param","Mean","StdDev"
"const",0.000293092883500375,0.00999951588944601
"t",2.81974659110941,1.96977253543682
"t2",-0.30229171812949,1.77429373299887
"w",1.14473937750404,1.30530063185123
"w2",4.93697176461083,0.906945806272156
"c",6.4507617488562,1.89077654415032
"c2",-1.41559546945838,1.72519355582567
"tw",-5.69638116674933,1.40139328700895
"tc",-2.45211655612211,1.37067157191318
"wc",-0.916672635271817,1.38076989892915
"twc",0.394478128377777,0.502545907843382
"tw2",-1.16668722725704,0.4870365544821
"tc2",-0.113955148568564,0.479808487080788
"t2w",1.66225848951743,0.431188735524302
"t2c",0.681455452975623,0.531533333834176
"w2c",-0.618817428408143,0.44467156430115
"wc2",0.142137003850998,0.487095139204096
"t3",-0.084598151109234,0.459360967313341
"w3",-0.000455590528454171,0.561733028097845
"c3",0.354068335575293,0.432457512549556
