"mu.param","Mean","StdDev"
"t",-17.137784530771,0.82875750891205
"t2",-1.35149393647545,0.748018164549187
"w",-1.16016464708616,0.449723217500214
"w2",-0.263441889365044,0.351941293126017
"c",10.5193954504623,0.605804495837717
"c2",-0.272757689697228,0.578428352516676
"tw",-0.612503546270753,0.699753833610347
"tc",1.07479496911872,0.669624569759687
"wc",-0.317694868425148,0.49463756373669
"twc",0.0435011968709279,0.234817282634753
"tw2",0.18473521606031,0.270610743367356
"tc2",0.15305710719673,0.228967231759626
"t2w",0.193213745495396,0.233129995164998
"t2c",-0.885585025190831,0.247444258506047
"w2c",0.0538258200681146,0.169508214434205
"wc2",0.000106989639341264,0.152220386362794
"t3",-0.181215612601472,0.213724695300224
"w3",0.102811692058734,0.19345199539572
"c3",-0.195531883084452,0.143320508310118
