"mu.param","Mean","StdDev"
"t",-23.1435953465133,0.57765850185505
"t2",-1.89142429961974,0.612994119495213
"w",-0.183067863363428,0.34441661214269
"w2",-0.0749569243607029,0.131624987929345
"c",4.14454966863935,0.49671990339736
"c2",-1.00288193449589,0.494578453668704
"tw",0.0196272657072902,0.173893440859856
"tc",-0.47842808261169,0.162976605603763
"wc",0.000836865224335781,0.136202007474708
"t3",0.575060840154834,0.168140642612163
"w3",0.0531091401250044,0.178945107573986
"c3",0.130715365839339,0.118858820054256
