"mu.param","Mean","StdDev"
"t",-18.7134915502739,1.12576400207599
"t2",-0.506318930402658,0.924938154192676
"w",-0.755850824276316,0.600372419845817
"w2",0.109190093914378,0.388726780037964
"c",9.11527851171136,0.722557281525953
"c2",-0.988468516650883,0.745543346490241
"tw",0.618446547689421,0.817770511807915
"tc",-0.092992299203927,0.805965183464587
"wc",-0.0176737682927917,0.662447424894075
"twc",-0.0639582196800902,0.259797102094539
"tw2",-0.130242180572251,0.277482049640881
"tc2",0.221514757963923,0.292224750026174
"t2w",-0.140610524383874,0.252071221007345
"t2c",-0.324996441391763,0.296540218079468
"w2c",-0.121388215649722,0.213363942816214
"wc2",0.0550012873318064,0.215426979767285
"t3",-0.392236416050875,0.242397434630122
"w3",0.0413295341278419,0.254125030304008
"c3",-0.0462256162738347,0.203421848750696
