"mu.param","Mean","StdDev"
"t",-16.7961540422782,0.992800367712976
"t2",-1.24637575869386,0.820094499920462
"w",-0.365460672259117,0.52346208037376
"w2",0.119061206154092,0.378509961984071
"c",7.27580966108865,0.623296852480264
"c2",-0.56855333978731,0.664076372195853
"tw",0.497412737961534,0.817843195020173
"tc",0.100958518091262,0.787714427382345
"wc",-0.358165057392111,0.582235280818525
"twc",-0.0119675054085865,0.265651182152458
"tw2",-0.172980758633203,0.287890588456792
"tc2",0.177444497655295,0.301881451243113
"t2w",-0.125213483247349,0.250424629488882
"t2c",-0.216276946797532,0.290193745281776
"w2c",-0.109825000504927,0.204341238788919
"wc2",0.126079274257364,0.19778051560277
"t3",-0.391814792317716,0.227698334400349
"w3",0.00384205699292589,0.241156161973257
"c3",-0.0796872421032399,0.190606498326404
