"mu.param","Mean","StdDev"
"t",-16.7048864240054,0.979277845927738
"t2",-1.18100285248799,1.00352497016024
"w",-0.53509518127365,0.535530583440322
"w2",-0.166615244487565,0.179944266354093
"c",6.99396834171828,0.717880734289691
"c2",-0.351873752802344,0.68221129083557
"tw",0.191889618968446,0.252188286233931
"tc",0.247582302682451,0.214834148096546
"wc",-0.0500610196773244,0.194548650198634
"t3",-0.525489130565083,0.266203548390343
"w3",0.0905428894431607,0.222421618506981
"c3",-0.109555620936978,0.159190754442462
