"mu.param","Mean","StdDev"
"t",-9.84565217214877,1.83423106844782
"t2",-8.33357104737778,1.59726881759455
"w",27.5971565924464,1.13397825564159
"w2",-3.49302983554185,0.747512992859928
"c",37.7875938298229,1.41247015809301
"c2",-9.57487418950168,1.38614691043414
"tw",-2.17081984054141,1.3579276187047
"tc",-4.86998538905746,1.17909757760597
"wc",6.81021928410033,1.24577736161827
"twc",-0.478425636453537,0.449052543734875
"tw2",1.14438775516394,0.484951207140716
"tc2",1.11690818020388,0.462847985204085
"t2w",-0.952349014380934,0.482581881406455
"t2c",-0.588866693876545,0.501493904958769
"w2c",-0.312413804449129,0.414399822980123
"wc2",-0.993091069192148,0.415179251963905
"t3",1.61722477593845,0.437605417152568
"w3",-0.789379324595485,0.513434049882113
"c3",0.901894838472885,0.360538198510747
