"mu.param","Mean","StdDev"
"t",-17.6864497046816,0.924265964444941
"t2",-1.90487131733174,0.414166874565876
"w",-0.34664440012358,0.50113080504066
"w2",0.00948225911744655,0.383348362381682
"c",9.34934972971505,0.492221606886217
"c2",-1.23388780721004,0.252394755131486
"tw",0.143736237798278,0.719350124221092
"tc",-0.0731281482811893,0.775923439221435
"wc",-0.1949900241148,0.600901298700024
"twc",-0.02766014598918,0.239398031495607
"tw2",-0.100033184094994,0.258539629541652
"tc2",0.286394961179608,0.228365609437697
"t2w",0.0112705727825532,0.221335883354183
"t2c",-0.406910468350911,0.26686723118365
"w2c",-0.0686228601001737,0.205675405733337
"wc2",0.0804835758244787,0.194966149150897
