"mu.param","Mean","StdDev"
"t",-1.37762736965693,0.693924741359528
"t2",-2.30287151593582,0.787817774240484
"w",0.112246925076074,0.326377197672166
"w2",-0.220096441794726,0.131248341986664
"c",19.8983663495722,0.633638378522852
"c2",-3.36087300270242,0.615343434872528
"tw",0.140177720725121,0.21662655241813
"tc",-0.392628694244284,0.211939199697498
"wc",-0.114805975685606,0.136170671163384
"t3",-0.220370909481351,0.228844611347669
"w3",0.103311863176137,0.192910010346014
"c3",0.293375667068705,0.146622191439246
