"mu.param","Mean","StdDev"
"t",-20.7951933935788,3.55230773606342
"t2",1.65880986772239,3.54726355733628
"w",-1.09918214546608,2.44126198553225
"w2",-0.134302752278502,0.812212713540837
"c",9.53118588863733,2.8945105998457
"c2",-1.06414346497154,3.10531961400453
"tw",0.327535512949934,0.963659507066949
"tc",-0.757051938912644,0.88944317516708
"wc",0.181296038465336,0.879528908461427
"t3",-0.551116023344914,0.951537083488104
"w3",0.20407235158736,0.916846555784705
"c3",0.0948717654251312,0.795029701664052
