"mu.param","Mean","StdDev"
"t",-9.63876627706934,1.37346353156863
"t2",-6.78113722620751,1.48517878581569
"w",7.70678152632771,0.896573716689824
"w2",-5.66094166846258,0.411734508481771
"c",23.4712293920386,1.37147364865563
"c2",-5.95522751638149,1.27852346618836
"tw",1.07111194647538,0.513153038448335
"tc",-1.44457304332478,0.415152855790126
"wc",0.53738334825901,0.362009291987762
"t3",0.137051818871716,0.414946615180108
"w3",1.53039234510362,0.492317272613649
"c3",0.610665095958137,0.287379982438681
