"mu.param","Mean","StdDev"
"t",-6.50539441617316,1.01644715328031
"t2",-2.15695016916852,0.878328970345263
"w",11.8055932444146,0.617724619318403
"w2",-2.99357068000036,0.445268234669308
"c",20.6866525603842,0.84020303119465
"c2",-3.14664815443966,0.785988013648559
"tw",-0.234671027170955,0.734457191338451
"tc",-0.979394235503648,0.689366138624339
"wc",1.89102865070083,0.638371715453453
"twc",0.00425588465840899,0.246184486990922
"tw2",0.480057473540621,0.264892713841321
"tc2",0.232699831416045,0.245835689771982
"t2w",-0.386288364519941,0.234124401721917
"t2c",-0.229107652012301,0.261951945669625
"w2c",-0.232296012594512,0.209971540653084
"wc2",-0.307265421542608,0.202739999917209
"t3",0.1059473222002,0.232177046508243
"w3",0.302401564448598,0.25582853436526
"c3",0.227673058964345,0.193042378064805
