"mu.param","Mean","StdDev"
"t",-18.0110796117951,0.802867527897661
"t2",-0.821515080693667,0.808905161224637
"w",-0.472421975651983,0.467930107750591
"w2",-0.187459908947179,0.183778884056443
"c",9.12811939026141,0.687444869948422
"c2",-1.17476963502992,0.669298345606286
"tw",0.0949382452647837,0.204456259817538
"tc",-0.298337811341914,0.198314865434485
"wc",0.050974425166559,0.186299349447396
"t3",-0.429601060026255,0.209689607940259
"w3",0.0365948364388844,0.223296298662575
"c3",0.0440230272599728,0.157284426908232
