"sigma.param","Mean","StdDev"
"const",0.000159094907858568,0.00999959598112035
"t",-2.43326519221638,2.79825416468193
"t2",9.92340570728371,2.65208800282473
"w",1.60503280124316,1.81169334705373
"w2",7.98919686933006,1.47823521198573
"c",9.91034796364114,2.34442798470372
"c2",-6.87482440608902,2.19928989547397
"tw",-0.669843886869763,2.80098727791117
"tc",-2.87016059398751,2.19527242635659
"wc",0.514833969613438,1.94552077173869
"twc",-0.954472457214994,1.03021169449719
"tw2",2.5239713433102,1.04124045780053
"tc2",-1.6047157366685,0.811516208058487
"t2w",2.4873798254123,1.13801562144873
"t2c",2.43424538116783,0.773857924821604
"w2c",-3.42169938619897,0.663270926799325
"wc2",0.673803590308803,0.601114270754305
"t3",-3.06623422394071,0.737892953492155
"w3",-4.47286155659548,0.825637940293073
"c3",2.00225591052756,0.514372017606782
