"mu.param","Mean","StdDev"
"t",-4.27091490059137,1.2538115732743
"t2",-0.348253955554046,1.08520162996252
"w",8.54334300505671,1.09511877718827
"w2",-2.85488293434991,0.620725750123248
"c",14.398268998338,1.60734194620143
"c2",-0.724255518006468,1.34090187234816
"tw",0.27115856851116,1.01287589185325
"tc",0.607125920423012,0.891304739730745
"wc",0.142129890944736,1.02012057901894
"twc",0.0148329707668029,0.45591009451514
"tw2",0.227075657843132,0.486536437589974
"tc2",-0.0457296171960456,0.339204704248705
"t2w",-0.138152549136526,0.396836034046128
"t2c",-0.173253006598428,0.327719120924839
"w2c",-0.0980187573111785,0.451087211791605
"wc2",-0.0111453515513664,0.301012944331921
"t3",-0.381477933138139,0.282500513057052
"w3",0.356521974496114,0.491964545870581
"c3",-0.0849785600329961,0.297925668948542
