"mu.param","Mean","StdDev"
"t",-23.2253234831027,0.621317647819112
"t2",-1.80958757020443,0.650860770150672
"w",-0.191750928000719,0.319595142640332
"w2",-0.049567270892214,0.114364229659737
"c",4.13638437659138,0.477035952373078
"c2",-0.977814230431989,0.478293918544782
"tw",-0.0106236531251461,0.161475153506014
"tc",-0.453623526595621,0.158826963968422
"wc",-0.0211527914299988,0.136784813223898
"t3",0.546603066028926,0.174204471515609
"w3",0.0846661689968041,0.145763998627811
"c3",0.118750853124368,0.114952718024646
