"mu.param","Mean","StdDev"
"t",-16.7487943528643,0.565734603393896
"t2",-0.370369489932418,0.623546443530159
"w",-1.22288519749607,0.344251328656375
"w2",-0.139092268878531,0.14745552448688
"c",10.1935879864704,0.53192483849141
"c2",0.179771622944442,0.511471371124033
"tw",-0.103880988330036,0.223456465108163
"tc",-0.437924153846135,0.194059395911271
"wc",-0.323388136744114,0.150653881092378
"t3",-0.789050370607709,0.17461828748355
"w3",0.110480533617448,0.191395093643862
"c3",-0.236052355765916,0.117457482636551
