"mu.param","Mean","StdDev"
"t",-1.37562246856432,0.91185695270896
"t2",-5.04383254177885,0.955535765985797
"w",0.5301866425258,0.545305225420398
"w2",-0.159255814752393,0.223800762100468
"c",32.0510404425161,0.920174542029413
"c2",-10.3316660569208,0.899833149628035
"tw",0.0664891746434273,0.272688796632437
"tc",-0.800756934499364,0.264412740120207
"wc",-0.152343831046437,0.211833510078385
"t3",0.130445237262906,0.261182855312505
"w3",-0.0513809168016435,0.291586945631268
"c3",1.30714419705549,0.212580261506534
