"mu.param","Mean","StdDev"
"t",-17.1590711427058,1.24830925670995
"t2",-0.914027493882872,1.15774004128731
"w",-0.691355497228824,0.675227603362024
"w2",0.262703184160359,0.333929542407019
"c",6.49061558286215,0.844054825310557
"c2",0.193680242758182,0.834502242119311
"tw",0.560069539422672,0.825242693343913
"tc",0.644326979722571,0.81040117503322
"wc",-0.370579602011877,0.760180847043799
"twc",-0.106961407136901,0.251388150191317
"tw2",-0.304400342150773,0.285426618590471
"tc2",0.0755780595896074,0.328937044569011
"t2w",-0.108481442521369,0.317000966018932
"t2c",-0.270157061213303,0.333552321121405
"w2c",-0.203123499576217,0.225958646205417
"wc2",0.137401919887156,0.242517999292461
"t3",-0.489737545121935,0.32245499541586
"w3",0.187467014120521,0.260340715631915
"c3",-0.249075309200117,0.221783597766573
