"mu.param","Mean","StdDev"
"t",-23.7474145120967,0.475666819118812
"t2",-1.50467930296299,0.534078140496806
"w",-0.231361023375797,0.276704294309573
"w2",-0.0691346214713155,0.111346283492837
"c",3.56666858673924,0.425566168229494
"c2",-0.909301148956483,0.405080559551186
"tw",0.0369232880892097,0.154623360275833
"tc",-0.440216711368276,0.143961459960849
"wc",-0.000556553067660407,0.106663793521891
"t3",0.515516894914897,0.152624952758327
"w3",0.0620734459912176,0.144242874850147
"c3",0.111092794969066,0.0936208327808034
