"mu.param","Mean","StdDev"
"t",-1.70057269111201,1.29166891176663
"t2",-5.16084298385627,1.17886210315963
"w",0.574121618686853,0.742068170267617
"w2",-0.141989354303843,0.451901551269831
"c",32.1680450395043,0.907147773387934
"c2",-10.2078291007491,0.949808439811535
"tw",0.229532168885596,0.996334266057213
"tc",-0.523075183142568,0.979138315307696
"wc",-0.825051596231399,0.79596186412022
"twc",0.000279598852134432,0.349353963037368
"tw2",-0.0455375102757368,0.380195679120373
"tc2",0.375636220522333,0.409092201348567
"t2w",-0.0213654001971771,0.367309623539457
"t2c",-0.546707748887219,0.413371518900594
"w2c",0.092386012346181,0.276134271791357
"wc2",0.238755708447941,0.275849045785307
"t3",0.322669360812791,0.349880492211025
"w3",-0.0497847626993689,0.33572105827096
"c3",1.17862497819791,0.263622479882604
