"mu.param","Mean","StdDev"
"t",-22.9236363417449,0.753051214643965
"t2",-1.97490365048396,0.682940565638696
"w",-0.076541002419141,0.422314669089997
"w2",-0.132020825900478,0.256389672303152
"c",4.18015508549434,0.52312854077872
"c2",-0.915356347934519,0.540439842094645
"tw",-0.0322272726083338,0.558352729350778
"tc",-0.89988802805901,0.558709729458404
"wc",-0.119962401575282,0.456115578349002
"twc",0.046075923937077,0.199597086274693
"tw2",0.0126376419159356,0.219683287956864
"tc2",0.172287473701475,0.232714732532457
"t2w",0.000888313458105833,0.207344936276779
"t2c",-0.0270846919041299,0.238282113125334
"w2c",0.0405289106207211,0.15721585195086
"wc2",0.0275485944901778,0.157196389968733
"t3",0.604798688908103,0.201921081955013
"w3",0.0401769931067884,0.188327734029611
"c3",0.0802813442425559,0.148866249465138
