"sigma.param","Mean","StdDev"
"const",0.00363242379420955,0.00999056102129313
"t",-0.00750728171881447,0.52265228081639
"t2",6.0042767852823,0.539315807252317
"w",0.268076006940003,0.296403652888297
"w2",2.73414465988693,0.229139062210485
"c",3.39448064851932,0.383748868082099
"c2",0.299752662843633,0.37731003302301
"tw",-1.46813732663022,0.49598590392543
"tc",-6.53225663632353,0.464906509723355
"wc",-0.0174225348290056,0.3474195234281
"twc",0.0459284319421397,0.169602804017284
"tw2",-0.403121501426966,0.209809867766208
"tc2",-0.21920861717988,0.160951165325098
"t2w",0.663263837865262,0.169646719817104
"t2c",2.16671839193472,0.175338561232606
"w2c",-0.489273309742751,0.115325452886671
"wc2",0.0552901845522945,0.107133159717679
"t3",-1.53480284128157,0.155393150496898
"w3",-0.462444925474726,0.138441693871217
"c3",0.0803896163314087,0.094766984679559
