"mu.param","Mean","StdDev"
"t",-11.8689439223604,0.872831888566401
"t2",-2.25741738139078,0.665565150749654
"w",0.320007437358198,0.466460433662994
"w2",-0.0262992501660422,0.405715745567367
"c",22.6110245452829,0.74391918533695
"c2",-4.75532470418577,0.432933058572076
"tw",-1.22912621420479,1.00342735094123
"tc",1.70752869016726,0.905914370978165
"wc",0.0264472990994027,0.623163376465365
"twc",0.0769467888788088,0.507794491840004
"tw2",-0.417947063561851,0.462937248336602
"tc2",0.887927634860863,0.377690067475938
"t2w",0.368578711534232,0.465194239699087
"t2c",-1.82246355010576,0.392685583441554
"w2c",0.16408126512637,0.27240639958409
"wc2",0.0131356450496786,0.272423657918461
