"mu.param","Mean","StdDev"
"t",-16.6989817107733,4.6933617472989
"t2",-3.13512252682131,2.34161133457256
"w",-3.3046053487515,2.73607403695798
"w2",-0.660488489379264,1.73718423007838
"c",15.1186078630234,1.77491995003075
"c2",-1.38837784491546,1.13794170877164
"tw",-0.290038046728506,3.49754462968819
"tc",-1.00184763121727,3.62447867323644
"wc",1.59202841062294,3.52456820530216
"twc",-0.236649488210676,1.28374855802135
"tw2",0.077289958945785,1.30535473542076
"tc2",-0.156654205078294,1.11703297941252
"t2w",0.388685764444894,1.31809872566619
"t2c",-0.214226175334594,1.40953499216994
"w2c",0.0893509291662594,1.14936419785612
"wc2",-0.367092896980404,1.25154622329663
