"mu.param","Mean","StdDev"
"t",-13.8161995826509,4.15390903046275
"t2",-1.32198605386591,3.54225186876684
"w",9.98108729794559,2.53272559693485
"w2",-5.29152300546464,2.13910978073942
"c",16.5980271647046,3.00543378137487
"c2",-3.5070521637832,2.76883775195597
"tw",5.50460265911551,3.52825586576951
"tc",-0.714985510728727,2.74657925163691
"wc",-4.88221536811509,2.74676494341503
"twc",2.72379181107874,1.07386703717011
"tw2",-0.699454511098724,1.27769605489902
"tc2",0.339278835059141,0.822698635589128
"t2w",-2.10272767431091,1.1011227295275
"t2c",-0.362872120480531,1.0087322391423
"w2c",0.0438936169024176,0.881824887797002
"wc2",0.0164752783561244,0.754773143219388
"t3",0.326309941311759,0.918533990001553
"w3",1.71875862270942,0.996883577509625
"c3",0.579664889662144,0.642563428215169
