"sigma.param","Mean","StdDev"
"const",0.00058654878034249,0.0100000381535208
"t",-4.86370108683104,6.07556164226403
"t2",23.9036747983688,4.46691091583306
"w",-9.75992453319176,3.3247611085754
"w2",3.21022581007934,1.28821955705579
"c",22.2053683006856,2.56490649500154
"c2",-25.1883737481181,3.25410406872784
"tw",-7.14030501750809,1.80359469205244
"tc",4.5863055937028,2.82240589758486
"wc",9.44611421409784,3.58246990139359
"twc",5.15036806270002,0.645848332549396
"tw2",-1.36408530423211,0.840968301304024
"tc2",-4.62611304569737,1.2890610336447
"t2w",-2.11806359457293,0.619726305214959
"t2c",2.46098021563213,1.46013756762535
"w2c",-4.49091716341003,1.04182073001648
"wc2",-6.72208395189664,1.39968777192698
"t3",-7.55950276044803,0.827573882899969
"w3",13.6026650502029,0.868971374526224
"c3",5.28945313967271,1.04908160400953
