"mu.param","Mean","StdDev"
"t",-24.4142180782563,0.607766965140624
"t2",0.0889107594910144,0.297426095391557
"w",-0.338598045517089,0.31248898890948
"w2",0.0194721009160008,0.255065842787903
"c",3.0897638229245,0.312548295523945
"c2",-0.414098010058712,0.15363649112246
"tw",0.416510163343632,0.476579355873382
"tc",-0.915974449035405,0.522972404245644
"wc",0.165125905391235,0.327598321702555
"twc",-0.0411850335081209,0.167397016691051
"tw2",-0.0987614140928348,0.182911816422154
"tc2",0.0517766216458247,0.166813824221619
"t2w",-0.143541139138516,0.153787771219038
"t2c",0.146187190669407,0.180954482856524
"w2c",-0.0357742687728864,0.117328815161064
"wc2",-0.0238098060538743,0.104774628509179
