"sigma.param","Mean","StdDev"
"const",5.29562007429764e-05,0.00999944352314117
"t",13.3666368000941,2.89029519105316
"t2",6.97885295316373,2.29883890061397
"w",12.9542075560884,1.47918363838235
"w2",-0.499990575452603,0.925587519404868
"c",-4.46680595450454,1.44023480557078
"c2",13.2405271086422,1.63134303727861
"tw",-10.5162496774452,2.13177658398643
"tc",-13.8398189611319,2.43656738842192
"wc",0.797701302832521,1.63524968955551
"twc",-3.48761501158651,1.04278244496457
"tw2",-0.267819065721349,1.13429961220767
"tc2",4.78436511988161,1.03115834485964
"t2w",3.88320115109343,0.650298325757595
"t2c",-0.167429661042136,1.02475057613707
"w2c",0.543654434114629,0.843659261504786
"wc2",2.42276399688351,0.533759875398089
"t3",-2.1542851320193,0.663103197556166
"w3",-5.49316614727228,0.760967908266241
"c3",-4.38800878251647,0.462925872740704
