"mu.param","Mean","StdDev"
"t",-1.4322401105775,1.25821991216959
"t2",-2.50617688807863,1.13429692284296
"w",0.266179844900855,0.723260738896372
"w2",-0.200145515789598,0.481709815878045
"c",19.8946606425928,0.757900528172509
"c2",-3.29078948836133,0.788049177958489
"tw",0.0996418550746128,0.988917695734002
"tc",-0.114982981595464,0.88331864148199
"wc",-0.410416302264217,0.919045549911762
"twc",0.0828355015493463,0.330259578043659
"tw2",-0.00357538657365454,0.377555943962007
"tc2",0.144576891456601,0.363841845772537
"t2w",-0.0289233685174113,0.381633310206277
"t2c",-0.324604604653419,0.368214772788328
"w2c",0.0415374527741724,0.308247265071676
"wc2",0.075194787274662,0.302278958059652
"t3",-0.0655082083962929,0.307900341000026
"w3",0.0760731141847611,0.271354519704718
"c3",0.241005799115078,0.22508636092069
