"sigma.param","Mean","StdDev"
"const",-1.94884476736269e-05,0.00999992094718007
"t",12.2742072407373,2.75337808852181
"t2",-20.8810250522245,3.31375185367787
"w",-1.70321472147134,2.75358960657155
"w2",4.56185179166859,1.5011258123418
"c",46.3178642590607,4.55287151508664
"c2",-17.4610041222337,3.16435268021578
"tw",25.0795983667153,4.06569913921415
"tc",5.48813279119182,2.11317688894934
"wc",-9.10150732291495,2.49236738653081
"twc",8.1808152136247,0.86482342799947
"tw2",2.84790194983501,0.771466452891274
"tc2",8.8119189894259,0.715913661236198
"t2w",-7.73201695758351,1.48299605207775
"t2c",-10.5002858998337,1.04520739089764
"w2c",-0.136080789617985,1.13521987682124
"wc2",-0.314145807907184,0.679855044548997
"t3",4.80565666126521,0.992978373768857
"w3",-0.767981149476817,0.983004525517209
"c3",-0.911357116841595,0.585284653289761
