"mu.param","Mean","StdDev"
"t",-20.8855571677812,1.62285376634326
"t2",-3.8451224798029,1.4412099424969
"w",4.10202216229738,0.931443574419532
"w2",-2.77609656194137,0.641403051604612
"c",4.61319487480635,1.02980486284462
"c2",-1.08752323472063,1.03623987259148
"tw",-0.668360174305961,1.33648783002774
"tc",-0.21557000036937,1.26939511851211
"wc",-0.116966906028516,0.997113479410916
"twc",0.248841301040494,0.472087968052606
"tw2",0.761184968168183,0.532930572127107
"tc2",0.0146046237604786,0.517457551927365
"t2w",-0.354521104042941,0.497585787546902
"t2c",-0.178515420400756,0.523179594130149
"w2c",-0.0891121016984716,0.347699255060326
"wc2",-0.0933568503383217,0.32126807704117
"t3",1.26439571307477,0.439465476303995
"w3",0.812581543309114,0.411172777987843
"c3",0.137191478544289,0.283518857174229
