"mu.param","Mean","StdDev"
"t",-22.9329640353121,0.777321153410232
"t2",-1.96821384670425,0.713328048792215
"w",-0.0653447197744511,0.40443456587299
"w2",-0.0986628250612064,0.227044733283253
"c",4.1753552702147,0.555792794292654
"c2",-0.904658917040882,0.571678042197156
"tw",-0.15449249620261,0.534158061027829
"tc",-0.911893535968968,0.571582983516382
"wc",-0.112539494897237,0.467795229569089
"twc",0.0694708927132195,0.194213943564907
"tw2",0.004146812600831,0.225786137249335
"tc2",0.178893147579861,0.239345430095801
"t2w",0.0346508165360008,0.188100497011722
"t2c",-0.0209772004354518,0.240009306083664
"w2c",0.0342512311430348,0.163502444344237
"wc2",0.013816050367107,0.151414246227173
"t3",0.597600243997717,0.200386825966489
"w3",0.0667888542642295,0.170787041648523
"c3",0.0755358733809239,0.153786439435846
