"mu.param","Mean","StdDev"
"t",-23.4269425439194,0.700718460707673
"t2",-1.64982284030314,0.596437682868088
"w",-0.0888673698912597,0.348772586392358
"w2",-0.110384045892124,0.256989209180447
"c",3.59897824346019,0.507265377092434
"c2",-0.86989302016374,0.471568152265618
"tw",-0.0332675936359068,0.520138640552994
"tc",-0.856673787894212,0.536797139377859
"wc",-0.0886509465298171,0.369245084013211
"twc",0.0368330961106031,0.17794574342161
"tw2",0.0102198418511493,0.193436155754749
"tc2",0.130604300351402,0.199445233071656
"t2w",0.00594526313093772,0.167988825945601
"t2c",0.0285621694982729,0.201676729296665
"w2c",0.0194364313885992,0.122148034088059
"wc2",0.0152150860536893,0.113951562327026
"t3",0.535518508374824,0.1684015197761
"w3",0.0396164432320668,0.146690755591208
"c3",0.0860402832400841,0.11854242753144
