"mu.param","Mean","StdDev"
"t",-12.1030571776262,2.99561543903012
"t2",-8.14047311066168,3.11769085231829
"w",-1.44284267520899,1.59849027461628
"w2",-0.0740533731130085,0.689242794830971
"c",14.409204508439,2.79538848365846
"c2",-1.02628180532675,2.68044379026823
"tw",-0.239017116465488,0.790153378651788
"tc",-2.30771263512166,0.813919242441948
"wc",0.0622536777258206,0.680812614946621
"t3",1.32361323030212,0.818441326609298
"w3",-0.0123269605706876,0.86032089758523
"c3",0.0118471606734213,0.623095924135886
