"site","region","country","latWeath","longWeath","weathSource","GCAM_commodity","crop","irrigation","nitrogen","tech","model","component","cultivar","baseY"
499,"USA","USA",38.75,269.63,"NCDC GHCN","Soybeans","Soybeans","RFD",999,"hi","DSSATv4.5.1.023","CROPGRO-Soybean","G Group 3",1442.06320783953
501,"USA","USA",38.75,269.63,"NCDC GHCN","Soybeans","Soybeans","IRR",999,"hi","DSSATv4.5.1.023","CROPGRO-Soybean","G Group 3",4359.67669703818
503,"USA","USA",30.38,275.63,"NCDC GHCN","Soybeans","Soybeans","RFD",999,"hi","DSSATv4.5.1.023","CROPGRO-Soybean","Cobb (8) - new",3547.47293211349
505,"USA","USA",30.38,275.63,"NCDC GHCN","Soybeans","Soybeans","IRR",999,"hi","DSSATv4.5.1.023","CROPGRO-Soybean","Cobb (8) - new",4495.92925409172
507,"USA","USA",39.06,264.31,"NCDC GHCN","Soybeans","Soybeans","RFD",999,"hi","DSSATv4.5.1.023","CROPGRO-Soybean","Williams-82(3)",1957.02770007678
509,"USA","USA",39.06,264.31,"NCDC GHCN","Soybeans","Soybeans","IRR",999,"hi","DSSATv4.5.1.023","CROPGRO-Soybean","Williams-82(3)",4263.17608874952
511,"USA","USA",41.25,283.08,"NCDC GHCN","Soybeans","Soybeans","RFD",999,"hi","DSSATv4.5.1.023","CROPGRO-Soybean","M Group 2",2271.66113613735
513,"USA","USA",41.25,283.08,"NCDC GHCN","Soybeans","Soybeans","IRR",999,"hi","DSSATv4.5.1.023","CROPGRO-Soybean","M Group 2",3993.20428575067
515,"USA","USA",46.57,239.47,"NCDC GHCN","Soybeans","Soybeans","RFD",999,"hi","DSSATv4.5.1.023","CROPGRO-Soybean","M Group 1",470.674321196318
517,"USA","USA",46.57,239.47,"NCDC GHCN","Soybeans","Soybeans","IRR",999,"hi","DSSATv4.5.1.023","CROPGRO-Soybean","M Group 1",4179.05129484606
523,"USA","USA",46.81,259.22,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Butte",3211.20443813345
524,"USA","USA",46.81,259.22,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Butte",4748.81325157273
527,"Europe_Eastern","Ukraine",46.484,30.732,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Lutescens 62",4146.74310870809
528,"Europe_Eastern","Ukraine",46.484,30.732,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Lutescens 62",4435.67966919041
529,"USA","USA",44.37,259.65,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Butte",3053.27140869672
530,"USA","USA",44.37,259.65,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Butte",3655.98986066963
531,"USA","USA",45.56,265.84,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Butte",3329.80773069844
532,"USA","USA",45.56,265.84,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Butte",3617.63818323522
533,"Canada","Canada",50.29,252.2,"AgMERRA","Wheat","Wheat","RFD",82,"lo","DSSATv4.5.1.023","CERES-Wheat","Manitou",1566.08087462673
539,"USA","USA",32.42,260.32,"NCDC GHCN","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Southern Plains",6837.57561134489
541,"USA","USA",32.42,260.32,"NCDC GHCN","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Southern Plains",7692.04680363101
543,"EU-15","Spain",39,358.14,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","ANSA",4786.84440156511
544,"EU-15","Spain",39,358.14,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","ANSA",8164.76099896011
545,"EU-15","Spain",38.878545,353.029817,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","ANSA",5424.79620663769
546,"EU-15","Spain",38.878545,353.029817,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","ANSA",6912.00804325313
547,"Argentina","Argentina",-37.75,301.7,"Local weather station","Wheat","Wheat","RFD",120,"hi","DSSATv4.5.1.023","CERES-Wheat","Manitou",3598.38935294379
549,"Argentina","Argentina",-37.75,301.7,"Local weather station","Wheat","Wheat","IRR",120,"hi","DSSATv4.5.1.023","CERES-Wheat","Manitou",4487.95979721114
551,"China","China",39.9,116.41,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","F.K.#2 (BJ)",5545.38215357092
553,"China","China",30.658,104.064856,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","M.Y.#11 (CD)",6087.64964282738
554,"China","China",30.658,104.064856,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","M.Y.#11 (CD)",10518.5298146628
555,"India","India",28.38,77.12,"NCDC GHCN","Wheat","Wheat","RFD",120,"hi","DSSATv4.5.1.023","CERES-Wheat","HD2009",2990.48107335585
557,"India","India",28.38,77.12,"NCDC GHCN","Wheat","Wheat","IRR",120,"hi","DSSATv4.5.1.023","CERES-Wheat","HD2009",3686.32517072658
559,"Pakistan","Pakistan",31.82,70.92,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Mexipak",6429.99596680563
560,"Japan","Japan",33.59,130.4,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Norin 61",5662.50853736072
561,"Japan","Japan",33.59,130.4,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Norin 62",5957.85453293317
565,"USA","USA",39.35,258.29,"NCDC GHCN","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Newton",8320.30700935162
567,"Australia_NZ","Australia",-34.29,146.04,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Egret",4972.00520101091
572,"USA","USA",35.47,262.48,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Vona",6612.65262756386
573,"USA","USA",35.47,262.48,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Vona",7629.66083155185
574,"EU-15","U.K.",51.82,359.64,"AgMERRA","Wheat","Wheat","RFD",120,"hi","DSSATv4.5.1.023","CERES-Wheat","Maris Funden",6268.78985114156
576,"Africa_Northern","Egypt",31.09,30.95,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Mexipak",3153.27967068706
577,"Africa_Northern","Egypt",31.09,30.95,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Mexipak",7144.57349370622
578,"EU-15","Spain",37.38,354,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","ANSA",5625.34244161366
579,"EU-15","Spain",37.38,354,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","ANSA",6555.02563725399
580,"USA","USA",39.06,264.31,"NCDC GHCN","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Scout66",4207.84875648505
582,"USA","USA",39.06,264.31,"NCDC GHCN","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Scout66",4058.60889309635
584,"USA","USA",46.57,239.47,"NCDC GHCN","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Pacific",3975.28657624737
586,"USA","USA",37.77,260.03,"NCDC GHCN","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Newton",4801.18922888914
588,"USA","USA",37.77,260.03,"NCDC GHCN","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Newton",7885.19760194397
590,"USA","USA",41.07,259.25,"NCDC GHCN","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Newton",5159.89533947183
592,"USA","USA",41.07,259.25,"NCDC GHCN","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Newton",6577.62895394092
594,"China","China",39.9,116.41,"AgMERRA","Maize","Maize","RFD",999,"hi","DSSATv4.5.1.023","CERES-Maize","Jingza#6 (BJ)",3912.73543077486
595,"China","China",39.9,116.41,"AgMERRA","Maize","Maize","IRR",999,"hi","DSSATv4.5.1.023","CERES-Maize","Jingza#6 (BJ)",4255.62022855069
596,"EU-15","Spain",41.62,0.62,"AgMERRA","Maize","Maize","RFD",999,"hi","DSSATv4.5.1.023","CERES-Maize","ANSA",546.227314973652
597,"EU-15","Spain",41.62,0.62,"AgMERRA","Maize","Maize","IRR",999,"hi","DSSATv4.5.1.023","CERES-Maize","ANSA",8437.84886717122
598,"China","China",32.06,118.8,"AgMERRA","Maize","Maize","RFD",999,"hi","DSSATv4.5.1.023","CERES-Maize","Suyu#1 (NJ)",4043.44097369225
599,"China","China",32.06,118.8,"AgMERRA","Maize","Maize","IRR",999,"hi","DSSATv4.5.1.023","CERES-Maize","Suyu#1 (NJ)",4182.0625674436
600,"China","China",34.2,117.28,"AgMERRA","Maize","Maize","RFD",999,"hi","DSSATv4.5.1.023","CERES-Maize","Suyu#1 (NJ)",6412.44632725344
601,"China","China",34.2,117.28,"AgMERRA","Maize","Maize","IRR",999,"hi","DSSATv4.5.1.023","CERES-Maize","Suyu#1 (NJ)",7042.77597587655
602,"Southeast Asia","Philippines",18.05,120.59,"AgMERRA","Rice","Rice","RFD",999,"hi","DSSATv4.5.1.023","CERES-Rice","IR 64",4318.20665251773
604,"Pakistan","Pakistan",32.93,73.72,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Mexipak",4663.57894141094
605,"Pakistan","Pakistan",32.93,73.72,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Mexipak",6275.11528909118
606,"Pakistan","Pakistan",28.63,70.65,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Mexipak",4663.57894141094
607,"Pakistan","Pakistan",28.63,70.65,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Mexipak",6275.11528909118
608,"Japan","Japan",43.8,143.9,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Haruminori",1621.83003294371
609,"Japan","Japan",43.8,143.9,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Haruminori",2093.43892821339
611,"Japan","Japan",39.7,141.15,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Nambu-Komugi",4895.27204635804
612,"China","China",32.06,118.8,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Yanmai#5 (NAN)",9905.03316703294
613,"China","China",32.06,118.8,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Yanmai#5 (NAN)",10037.6380909919
614,"Australia_NZ","Australia",-30.33,149.78,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Egret",2640.49245124836
615,"Australia_NZ","Australia",-30.33,149.78,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Egret",2658.36351167449
616,"China","China",34.26,108.94,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Y.M.#2 (XA)",7630.77247854136
618,"China","China",34.2,117.28,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Jinan#13 (XUZ)",6235.95872558818
619,"China","China",34.2,117.28,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Jinan#13 (XUZ)",9431.74079548305
620,"Russia","Russia",46.37,48.08,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Albidum 43",4157.53274758243
621,"Russia","Russia",46.37,48.08,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Albidum 43",7081.57543290506
622,"Europe_Eastern","Belarus",52,24.2,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Lutescens 62",3957.09545176189
623,"Europe_Eastern","Belarus",52,24.2,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Lutescens 62",4201.80786992244
624,"Russia","Russia",53.24,34.37,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Palmira",3363.23667108817
625,"Russia","Russia",53.24,34.37,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Palmira",3686.49600439073
626,"Central Asia","Kazakhstan",49.83,73.17,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Psediturthicum",3005.90381782633
627,"Central Asia","Kazakhstan",49.83,73.17,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Psediturthicum",4837.45121229823
628,"Europe_Eastern","Ukraine",49.99,36.23,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Albidum 43",6600.74246044358
629,"Europe_Eastern","Ukraine",49.99,36.23,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Albidum 43",7191.13310015162
630,"Russia","Russia",51.73,36.19,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Albidum 43",6692.7841741126
631,"Russia","Russia",51.73,36.19,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Albidum 43",6945.65108515372
632,"EU-12","Lithuania",55.17,23.88,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Palmira",3511.10639550342
633,"EU-12","Lithuania",55.17,23.88,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Palmira",3931.71673272504
634,"Europe_Eastern","Belarus",53.9,27.57,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Palmira",3426.64637541044
635,"Europe_Eastern","Belarus",53.9,27.57,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Palmira",3673.16489818377
636,"Central Asia","Kazakhstan",49.9,57.9,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Psediturthicum",4574.74911471663
637,"Central Asia","Kazakhstan",49.9,57.9,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Psediturthicum",4708.26975716822
638,"Central Asia","Kazakhstan",50,55.6,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Albidum 43",3048.27712423481
639,"Central Asia","Kazakhstan",50,55.6,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Albidum 43",7183.66826549303
640,"Central Asia","Kazakhstan",54.16,69.94,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Psediturthicum",3774.64936183663
641,"Central Asia","Kazakhstan",54.16,69.94,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Psediturthicum",4440.21133301409
642,"Europe_Eastern","Ukraine",50.25,28.66,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Ostka",4735.60523300329
643,"Europe_Eastern","Ukraine",50.25,28.66,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Ostka",5012.98481038074
644,"Central Asia","Kazakhstan",51.17,71.42,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Psediturthicum",3819.47760662469
645,"Central Asia","Kazakhstan",51.17,71.42,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Psediturthicum",4341.93668979235
646,"Russia","Russia",57.63,39.89,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Palmira",3493.23768623141
647,"Russia","Russia",57.63,39.89,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Palmira",3657.06741046416
648,"Russia","Russia",47.22,39.71,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Lutescens 62",3321.95044213631
649,"Russia","Russia",47.22,39.71,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Lutescens 62",4259.01151951767
650,"Europe_Eastern","Ukraine",50.25,28.66,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Lutescens 9",6944.80974524972
651,"Europe_Eastern","Ukraine",50.25,28.66,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Lutescens 10",7683.17105112828
654,"Europe_Eastern","Belarus",52,24.2,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Krymskaya",3723.79588115806
655,"Europe_Eastern","Belarus",52,24.2,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","77",4402.29579838331
659,"Australia_NZ","Australia",-34.53,138.73,"AgMERRA","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Egret",4449.57798114015
660,"Australia_NZ","Australia",-34.53,138.73,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Egret",4464.86858916948
669,"USA","USA",30.53,268.85,"NCDC GHCN","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","East",6405.86165359511
671,"USA","USA",30.53,268.85,"NCDC GHCN","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","East",6385.43233084036
673,"USA","USA",40,277.12,"NCDC GHCN","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","East",5230.10826807113
674,"USA","USA",40,277.12,"NCDC GHCN","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","East",5150.36102801216
679,"USA","USA",33.95,278.88,"NCDC GHCN","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","East",6872.96873895455
680,"USA","USA",33.95,278.88,"NCDC GHCN","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","East",6918.19581769173
693,"Africa_Northern","Egypt",24.07,32.92,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Mexipak65",7457.44879991261
694,"Africa_Northern","Egypt",31.33,27.22,"AgMERRA","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Mexipak65",6445.16336480278
701,"USA","USA",46.9,263.2,"NCDC GHCN","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Butte",2832.69822397154
702,"USA","USA",46.9,263.2,"NCDC GHCN","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Butte",3202.37453491476
707,"USA","USA",36.77,240.28,"NCDC GHCN","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","India ",3462.30432773604
713,"EU-15","Greece",39.36666667,21.91666667,"AgMERRA","Maize","Maize","RFD",330,"hi","DSSATv4.5.1.023","CERES-Maize","PIO 3183",986.519647245727
714,"EU-15","Greece",39.36666667,21.91666667,"AgMERRA","Maize","Maize","IRR",330,"hi","DSSATv4.5.1.023","CERES-Maize","PIO 3183",5517.84995137199
715,"EU-15","Greece",40.65,22.06666667,"AgMERRA","Maize","Maize","RFD",330,"hi","DSSATv4.5.1.023","CERES-Maize","PIO 3183",994.722513499352
716,"EU-15","Greece",40.65,22.06666667,"AgMERRA","Maize","Maize","IRR",330,"hi","DSSATv4.5.1.023","CERES-Maize","PIO 3183",4442.20068045541
717,"EU-15","Greece",41.11666667,24.88333333,"AgMERRA","Maize","Maize","RFD",330,"hi","DSSATv4.5.1.023","CERES-Maize","PIO 3707",1203.00125706193
718,"EU-15","Greece",41.11666667,24.88333333,"AgMERRA","Maize","Maize","IRR",330,"hi","DSSATv4.5.1.023","CERES-Maize","PIO 3707",4574.55599915728
719,"USA","USA",39.73,273.72,"NCDC GHCN","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","East",4443.71716864084
720,"USA","USA",39.73,273.72,"NCDC GHCN","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","East",4394.23525838615
725,"USA","USA",37.33,280.8,"NCDC GHCN","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","East",5410.69082423029
726,"USA","USA",37.33,280.8,"NCDC GHCN","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","East",5593.19462144255
731,"USA","USA",35.05,270,"NCDC GHCN","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","East",6704.55105036944
732,"USA","USA",35.05,270,"NCDC GHCN","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","East",6793.96971842338
741,"USA","USA",33.43,247.98,"NCDC GHCN","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Southern Plains",7064.34061039051
745,"EU-12","Poland",51.23,22.57,"AgMERRA","Maize","Maize","RFD",50,"lo","DSSATv4.5.1.023","CERES-Maize","Sweet Corn",7102.52296871784
749,"USA","USA",47.63,242.47,"NCDC GHCN","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","Pacific",4176.85010382779
753,"USA","USA",30.38,275.63,"NCDC GHCN","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","East",7160.40418948297
754,"USA","USA",30.38,275.63,"NCDC GHCN","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","East",7552.34755503178
757,"USA","USA",41.25,283.08,"NCDC GHCN","Wheat","Wheat","RFD",999,"hi","DSSATv4.5.1.023","CERES-Wheat","East",6711.40112231698
759,"USA","USA",41.25,283.08,"NCDC GHCN","Wheat","Wheat","IRR",999,"hi","DSSATv4.5.1.023","CERES-Wheat","East",6682.99131618369
856,"South Asia","Bangladesh",23.2,89.33,"AgMERRA","Rice","Rice","RFD",120,"hi","DSSATv4.5.1.023","CERES-Rice","Biplab (BR3)",6627.74780003051
857,"South Asia","Bangladesh",23.2,89.33,"AgMERRA","Rice","Rice","RFD",120,"hi","DSSATv4.5.1.023","CERES-Rice","Mukta (BR11)",8448.7710724547
858,"South Asia","Bangladesh",23.2,89.33,"AgMERRA","Rice","Rice","IRR",120,"hi","DSSATv4.5.1.023","CERES-Rice","BR29",8303.96103911154
859,"South Asia","Bangladesh",22.78,89.53,"AgMERRA","Rice","Rice","RFD",120,"hi","DSSATv4.5.1.023","CERES-Rice","Biplab (BR3)",6568.74353122556
860,"South Asia","Bangladesh",22.78,89.53,"AgMERRA","Rice","Rice","RFD",120,"hi","DSSATv4.5.1.023","CERES-Rice","Mukta (BR11)",8898.70402494207
861,"South Asia","Bangladesh",22.78,89.53,"AgMERRA","Rice","Rice","IRR",120,"hi","DSSATv4.5.1.023","CERES-Rice","BR29",8176.99243967371
862,"South Asia","Bangladesh",22.87,91.1,"AgMERRA","Rice","Rice","RFD",120,"hi","DSSATv4.5.1.023","CERES-Rice","Biplab (BR3)",6424.64924688401
863,"South Asia","Bangladesh",22.87,91.1,"AgMERRA","Rice","Rice","RFD",120,"hi","DSSATv4.5.1.023","CERES-Rice","Mukta (BR11)",6673.72514743524
864,"South Asia","Bangladesh",22.87,91.1,"AgMERRA","Rice","Rice","IRR",120,"hi","DSSATv4.5.1.023","CERES-Rice","BR29",7761.42373580093
865,"South Asia","Bangladesh",24.73,90.42,"AgMERRA","Rice","Rice","RFD",120,"hi","DSSATv4.5.1.023","CERES-Rice","Biplab (BR3)",5601.12126711746
866,"South Asia","Bangladesh",24.73,90.42,"AgMERRA","Rice","Rice","RFD",120,"hi","DSSATv4.5.1.023","CERES-Rice","Mukta (BR11)",6638.19544451192
867,"South Asia","Bangladesh",24.73,90.42,"AgMERRA","Rice","Rice","IRR",120,"hi","DSSATv4.5.1.023","CERES-Rice","BR29",8336.36817699829
868,"South Asia","Bangladesh",22.33,90.33,"AgMERRA","Rice","Rice","RFD",120,"hi","DSSATv4.5.1.023","CERES-Rice","Biplab (BR3)",6455.57902291051
869,"South Asia","Bangladesh",22.33,90.33,"AgMERRA","Rice","Rice","RFD",120,"hi","DSSATv4.5.1.023","CERES-Rice","Mukta (BR11)",9232.63427943803
870,"South Asia","Bangladesh",22.33,90.33,"AgMERRA","Rice","Rice","IRR",120,"hi","DSSATv4.5.1.023","CERES-Rice","BR29",8373.23446145563
871,"South Asia","Bangladesh",25.73,89.27,"AgMERRA","Rice","Rice","RFD",120,"hi","DSSATv4.5.1.023","CERES-Rice","Biplab (BR3)",7403.37017121474
872,"South Asia","Bangladesh",25.73,89.27,"AgMERRA","Rice","Rice","RFD",120,"hi","DSSATv4.5.1.023","CERES-Rice","Mukta (BR11)",8581.5106295219
873,"South Asia","Bangladesh",25.73,89.27,"AgMERRA","Rice","Rice","IRR",120,"hi","DSSATv4.5.1.023","CERES-Rice","BR29",8581.5106295219
874,"South Asia","Bangladesh",22.63,92.15,"AgMERRA","Rice","Rice","RFD",120,"hi","DSSATv4.5.1.023","CERES-Rice","Biplab (BR3)",6192.52362035991
875,"South Asia","Bangladesh",22.63,92.15,"AgMERRA","Rice","Rice","RFD",120,"hi","DSSATv4.5.1.023","CERES-Rice","Mukta (BR11)",8006.93324330333
876,"South Asia","Bangladesh",22.63,92.15,"AgMERRA","Rice","Rice","IRR",120,"hi","DSSATv4.5.1.023","CERES-Rice","BR29",6316.87478734225
877,"South Asia","Bangladesh",24.3,91.73,"AgMERRA","Rice","Rice","RFD",120,"hi","DSSATv4.5.1.023","CERES-Rice","Biplab (BR3)",6358.19308500594
878,"South Asia","Bangladesh",24.3,91.73,"AgMERRA","Rice","Rice","RFD",120,"hi","DSSATv4.5.1.023","CERES-Rice","Mukta (BR11)",7920.5596684772
879,"South Asia","Bangladesh",24.3,91.73,"AgMERRA","Rice","Rice","IRR",120,"hi","DSSATv4.5.1.023","CERES-Rice","BR29",7669.81302949974
